director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,profit,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western,director_high,director_low,actor_1_high,actor_1_low,actor_2_high,actor_2_low,actor_3_high,actor_3_low
Jerry Jameson,32.0,119.0,5.0,249.0,Jason Robards,521.0,7000000.0,drama,M. Emmet Walsh,Raise the Titanic ,2933,1883,Anne Archer,0.0,military|mineral|ocean|ship|titanic,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,70.0,English,UK,PG,36000000.0,1980.0,372.0,4.7,2.35,328,-29000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
James Bobin,277.0,119.0,33.0,518.0,Tina Fey,3000.0,51178893.0,adventure,Ty Burrell,Muppets Most Wanted ,24285,6089,Hugh Bonneville,4.0,europe|frog|gulag|prison break|puppet,http://www.imdb.com/title/tt2281587/?ref_=fn_tt_tt_1,110.0,English,USA,PG,50000000.0,2014.0,2000.0,6.4,1.85,10000,1178893.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Jonathan Liebesman,348.0,101.0,473.0,429.0,Danny Woodburn,833.0,190871240.0,action,Noel Fisher,Teenage Mutant Ninja Turtles ,167085,2690,Jeremy Howard,0.0,18 wheeler|mutant|ninja|sewer|turtle,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1,491.0,English,USA,PG-13,125000000.0,2014.0,809.0,5.9,2.35,62000,65871240.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
John Polson,180.0,101.0,21.0,317.0,Dylan Baker,22000.0,51097664.0,mystery,Robert De Niro,Hide and Seek ,70205,23328,Robert John Burke,0.0,bathtub|psychologist|pushed out a window|smothered with a pillow|telescope,http://www.imdb.com/title/tt0382077/?ref_=fn_tt_tt_1,450.0,English,USA,R,30000000.0,2005.0,812.0,5.9,2.35,0,21097664.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Robert Zemeckis,185.0,130.0,0.0,568.0,Amber Valletta,11000.0,155370362.0,drama,Harrison Ford,What Lies Beneath ,98403,12890,Miranda Otto,0.0,ghost|haunted house|research|secret|vermont,http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1,683.0,English,USA,PG-13,100000000.0,2000.0,627.0,6.6,2.35,0,55370362.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Sam Mendes,226.0,117.0,0.0,818.0,Jennifer Jason Leigh,15000.0,104054514.0,drama,Tom Hanks,Road to Perdition ,200359,16828,Liam Aiken,0.0,1930s|blood|gun|on the run|revenge,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,1009.0,English,USA,R,80000000.0,2002.0,1000.0,7.7,2.35,0,24054514.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
Fred Wolf,129.0,97.0,29.0,816.0,Katharine McPhee,15000.0,48237389.0,romance,Emma Stone,The House Bunny ,63969,18789,Beverly D'Angelo,1.0,makeover|party|playboy|playboy mansion|sorority,http://www.imdb.com/title/tt0852713/?ref_=fn_tt_tt_1,126.0,English,USA,PG-13,25000000.0,2008.0,852.0,5.5,2.35,0,23237389.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Eric Valette,141.0,87.0,2.0,270.0,Jason Beghe,741.0,26876529.0,horror,Johnny Lewis,One Missed Call ,26624,1834,Margaret Cho,1.0,death|lifting someone into the air|telephone|telephone call|voice mail,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,189.0,English,Japan,PG-13,27000000.0,2008.0,297.0,3.9,1.85,0,-123471.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Wes Craven,109.0,107.0,0.0,112.0,Heather Langenkamp,969.0,18090181.0,fantasy,Miko Hughes,New Nightmare ,38191,1775,Tracy Middendorf,0.0,earthquake|elm street|freddy krueger|nightmare|sleep,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,271.0,English,USA,R,8000000.0,1994.0,449.0,6.4,1.85,0,10090181.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Woody Allen,128.0,94.0,11000.0,975.0,Jon Lovitz,11000.0,17071230.0,crime,Woody Allen,Small Time Crooks ,31169,23283,Michael Rapaport,0.0,apartment building|crook|new york city|three word title|written and directed by cast member,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,192.0,English,USA,PG,18000000.0,2000.0,11000.0,6.7,1.85,812,-928770.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Harald Zwart,79.0,102.0,91.0,434.0,Frankie Muniz,1000.0,47285499.0,thriller,Daniel Roebuck,Agent Cody Banks ,26755,3037,Chris Gauthier,3.0,cia|nanobot|prep school|scientist|teenager,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,104.0,English,USA,PG,26000000.0,2003.0,934.0,5.0,2.35,542,21285499.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
Duke Johnson,328.0,90.0,26.0,0.0,Tom Noonan,1000.0,3442820.0,drama,Jennifer Jason Leigh,Anomalisa ,31489,1442,David Thewlis,0.0,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,140.0,English,USA,R,8000000.0,2015.0,442.0,7.3,2.35,0,-4557180.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Joe Johnston,198.0,92.0,394.0,527.0,Trevor Morgan,693.0,181166115.0,action,Michael Jeter,Jurassic Park III ,219501,2574,Alessandro Nivola,0.0,dinosaur|island|jurassic park|paleontologist|search,http://www.imdb.com/title/tt0163025/?ref_=fn_tt_tt_1,1236.0,English,USA,PG-13,93000000.0,2001.0,595.0,5.9,1.85,0,88166115.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Andrew Fleming,93.0,99.0,26.0,650.0,Laura Harring,720.0,25584685.0,romance,Kay Panabaker,Nancy Drew ,15877,3327,Tate Donovan,5.0,chase|clue|detective|movie star|murder,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,102.0,English,USA,PG,20000000.0,2007.0,669.0,5.9,2.35,590,5584685.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Breck Eisner,202.0,106.0,42.0,612.0,Joseph Gilgun,14000.0,27356090.0,fantasy,Vin Diesel,The Last Witch Hunter ,58752,16922,Lotte Verbeek,0.0,box office flop|burned to death|magic|witch|witch hunter,http://www.imdb.com/title/tt1618442/?ref_=fn_tt_tt_1,117.0,English,USA,PG-13,90000000.0,2015.0,788.0,6.0,2.35,21000,-62643910.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Tim Hill,37.0,91.0,25.0,611.0,Amber Valletta,833.0,17292381.0,crime,Noel Fisher,Max Keeble's Big Move ,5794,4551,Larry Miller,0.0,bully|moving|principal|revenge|school,http://www.imdb.com/title/tt0273799/?ref_=fn_tt_tt_1,69.0,English,USA,PG,12000000.0,2001.0,626.0,5.3,1.85,371,5292381.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Frank Darabont,186.0,189.0,0.0,693.0,Jeffrey DeMunn,15000.0,136801374.0,mystery,Tom Hanks,The Green Mile ,782610,17716,Michael Jeter,0.0,1930s|death row inmate|healing|prison guard|southern u.s.,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,1377.0,English,USA,R,60000000.0,1999.0,745.0,8.5,1.85,30000,76801374.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
David Koepp,210.0,102.0,192.0,31.0,Dequina Moore,346.0,13214030.0,drama,Aasif Mandvi,Ghost Town ,60516,500,Jordan Carlos,3.0,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,147.0,English,USA,PG-13,20000000.0,2008.0,41.0,6.7,1.85,0,-6785970.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Nicolas Winding Refn,676.0,100.0,0.0,228.0,Albert Brooks,33000.0,35054909.0,crime,Ryan Gosling,Drive ,431578,34337,Russ Tamblyn,0.0,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1,1264.0,English,USA,R,15000000.0,2011.0,745.0,7.8,2.35,81000,20054909.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Jon Amiel,149.0,135.0,36.0,106.0,Tchéky Karyo,894.0,31111260.0,sci_fi,Glenn Morshower,The Core ,77029,1439,Rekha Sharma,0.0,core|earth|natural disaster|pacemaker|scientist,http://www.imdb.com/title/tt0298814/?ref_=fn_tt_tt_1,466.0,English,USA,PG-13,60000000.0,2003.0,345.0,5.4,2.35,0,-28888740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
Stéphane Aubier,99.0,80.0,2.0,186.0,Megan Mullally,6000.0,71442.0,drama,Mackenzie Foy,Ernest & Celestine ,12029,6829,Lambert Wilson,0.0,bear|dentist|friendship|mouse|prejudice,http://www.imdb.com/title/tt1816518/?ref_=fn_tt_tt_1,32.0,French,France,PG,9600000.0,2012.0,637.0,7.9,1.85,0,-9528558.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
F. Gary Gray,68.0,140.0,473.0,294.0,Michael Cudlitz,18000.0,44484065.0,crime,Kevin Spacey,The Negotiator ,107227,20152,Siobhan Fallon Hogan,2.0,hostage|innocence|murder|negotiator|police,http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1,279.0,English,Germany,R,50000000.0,1998.0,822.0,7.3,2.35,3000,-5515935.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Dennie Gordon,66.0,105.0,29.0,742.0,Oliver James,14000.0,35990505.0,romance,Colin Firth,What a Girl Wants ,48095,16400,Kelly Preston,1.0,american|daughter|england|father|politician,http://www.imdb.com/title/tt0286788/?ref_=fn_tt_tt_1,194.0,English,USA,PG,20000000.0,2003.0,1000.0,5.8,2.35,0,15990505.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Robert Schwentke,315.0,111.0,124.0,357.0,Morgan Freeman,13000.0,90356857.0,crime,Bruce Willis,RED ,238916,24928,Jaqueline Fleming,4.0,cia|female assassin|interrogation|office cubicle|spy,http://www.imdb.com/title/tt1245526/?ref_=fn_tt_tt_1,328.0,English,USA,PG-13,58000000.0,2010.0,11000.0,7.1,2.35,32000,32356857.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
Carl Franklin,124.0,114.0,73.0,323.0,Sanaa Lathan,18000.0,40905277.0,romance,Denzel Washington,Out of Time ,45895,19739,John Billingsley,3.0,cancer|florida|insurance|life insurance policy|small town,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,157.0,English,USA,R,50000000.0,2003.0,886.0,6.5,2.35,1000,-9094723.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
Tobe Hooper,52.0,100.0,365.0,225.0,Bud Cort,425.0,4884663.0,horror,Louise Fletcher,Invaders from Mars ,5187,1661,William Bassett,0.0,alien|boy|nurse|school|school nurse,http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1,64.0,English,USA,PG,12000000.0,1986.0,394.0,5.5,2.35,902,-7115337.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
John Lee Hancock,106.0,137.0,102.0,877.0,Marc Blucas,2000.0,22406362.0,drama,Dennis Quaid,The Alamo ,16832,5780,Jordi Mollà,0.0,army|dictator|general|texan|texas,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,267.0,English,USA,PG-13,107000000.0,2004.0,973.0,6.0,2.35,701,-84593638.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Rich Christiano,16.0,95.0,14.0,221.0,D. David Morin,284.0,15278.0,sci_fi,Gavin MacLeod,Time Changer ,1742,1185,Hal Linden,1.0,bible|christian propaganda|christianity|time machine|zealot,http://www.imdb.com/title/tt0295725/?ref_=fn_tt_tt_1,158.0,English,USA,PG,825000.0,2002.0,234.0,5.6,1.85,409,-809722.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
Jim Sheridan,174.0,84.0,260.0,692.0,Gregory Smith,6000.0,21283440.0,thriller,Naomi Watts,Dream House ,46239,8018,Sarah Gadon,0.0,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,137.0,English,USA,PG-13,55000000.0,2011.0,694.0,6.0,2.35,0,-33716560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
John Wells,322.0,121.0,53.0,8000.0,Meryl Streep,19000.0,37738400.0,drama,Benedict Cumberbatch,August: Osage County ,67797,39690,Julia Roberts,3.0,based on play|incestuous relationship|pedophilia|secret|teenage daughter,http://www.imdb.com/title/tt1322269/?ref_=fn_tt_tt_1,285.0,English,USA,R,25000000.0,2013.0,11000.0,7.3,2.35,30000,12738400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Brian Klugman,216.0,102.0,49.0,10000.0,Bradley Cooper,24000.0,11434867.0,drama,J.K. Simmons,The Words ,59637,51355,Olivia Wilde,1.0,american in paris|book|love|novel|writer,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,130.0,English,USA,PG-13,6000000.0,2012.0,14000.0,7.1,1.85,21000,5434867.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
Steven Spielberg,388.0,146.0,14000.0,979.0,Benedict Cumberbatch,25000.0,79883359.0,war,Jeremy Irvine,War Horse ,116159,46726,Eddie Marsan,1.0,barbed wire|british|cavalry|horse|world war one,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,488.0,English,USA,PG-13,66000000.0,2011.0,19000.0,7.2,2.35,28000,13883359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
Rob Bowman,196.0,100.0,38.0,1000.0,Cary-Hiroyuki Tagawa,3000.0,24407944.0,action,Jennifer Garner,Elektra ,71202,7048,Goran Visnjic,0.0,assassin|battle|heroine|martial arts|spin off,http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1,380.0,English,Canada,PG-13,43000000.0,2005.0,1000.0,4.8,2.35,0,-18592056.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
Gurinder Chadha,161.0,112.0,98.0,397.0,Parminder Nagra,883.0,32541719.0,drama,Archie Panjabi,Bend It Like Beckham ,89806,2201,Anupam Kher,0.0,hinduism|marriage engagement|soccer|team|tradition,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,438.0,English,UK,PG-13,3500159.0,2002.0,528.0,6.7,1.85,0,29041560.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Carl Franklin,124.0,114.0,73.0,323.0,Sanaa Lathan,18000.0,40905277.0,drama,Denzel Washington,Out of Time ,45895,19739,John Billingsley,3.0,cancer|florida|insurance|life insurance policy|small town,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,157.0,English,USA,R,50000000.0,2003.0,886.0,6.5,2.35,1000,-9094723.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Andrew Haigh,143.0,97.0,131.0,67.0,Chris New,507.0,469947.0,drama,Tom Cullen,Weekend ,19846,654,Vauxhall Jermaine,0.0,coming out|fellatio|male in bathtub|male nudity|nudity,http://www.imdb.com/title/tt1714210/?ref_=fn_tt_tt_1,68.0,English,UK,Not Rated,120000.0,2011.0,75.0,7.7,1.85,0,349947.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Bille Woodruff,97.0,94.0,23.0,582.0,Mekhi Phifer,2000.0,30222640.0,drama,Christian Monzon,Honey ,36666,4868,Romeo Miller,2.0,choreographer|dance|dancer|dancing|hip hop,http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1,144.0,English,USA,PG-13,25000000.0,2003.0,1000.0,5.3,1.85,0,5222640.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
Richard Lester,121.0,116.0,44.0,420.0,Ned Beatty,593.0,108200000.0,action,Margot Kidder,Superman II ,76331,2908,Jackie Cooper,4.0,alien invasion|based on comic book|flying superhero|phantom zone|revenge,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1,269.0,English,USA,PG,54000000.0,1980.0,467.0,6.8,2.35,0,54200000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Peter Jackson,446.0,201.0,0.0,84.0,Thomas Kretschmann,6000.0,218051260.0,adventure,Naomi Watts,King Kong ,316027,7122,Evan Parke,0.0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618.0,English,New Zealand,PG-13,207000000.0,2005.0,918.0,7.2,2.35,0,11051260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
Stephen Milburn Anderson,27.0,118.0,0.0,410.0,Mike Starr,26000.0,46451.0,crime,Chris Hemsworth,Ca$h ,7663,27756,Paul Sanchez,2.0,cash|financial problem|heist|land rover|mortgage,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,38.0,English,USA,R,7000000.0,2010.0,854.0,6.0,1.85,694,-6953549.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Spike Lee,22.0,121.0,0.0,182.0,Ossie Davis,413.0,14545844.0,comedy,Tisha Campbell-Martin,School Daze ,4756,1284,Bill Nunn,4.0,beauty salon|black college|college|fraternity|sorority,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,38.0,English,USA,R,6500000.0,1988.0,282.0,5.8,1.85,624,8045844.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Joe Johnston,510.0,124.0,394.0,2000.0,Dominic Cooper,11000.0,176636816.0,sci_fi,Chris Evans,Captain America: The First Avenger ,508818,19761,Hayley Atwell,0.0,arctic|captain america|scientist|tesseract|war bond,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1,679.0,English,USA,PG-13,140000000.0,2011.0,3000.0,6.9,2.35,46000,36636816.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
Mike Judge,192.0,92.0,406.0,968.0,Mila Kunis,24000.0,10814185.0,crime,J.K. Simmons,Extract ,37530,41867,Clifton Collins Jr.,6.0,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,106.0,English,USA,R,8000000.0,2009.0,15000.0,6.2,1.85,0,2814185.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Je-kyu Kang,86.0,148.0,16.0,489.0,Bin Won,717.0,1110186.0,drama,Min-sik Choi,Tae Guk Gi: The Brotherhood of War ,31943,1730,Dong-gun Jang,2.0,1950s|archeologist|korea|korean war|soldier,http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1,224.0,Korean,South Korea,R,12800000.0,2004.0,517.0,8.1,2.35,0,-11689814.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Kirk Jones,156.0,94.0,52.0,261.0,Louis Mandylor,567.0,59573085.0,romance,Nia Vardalos,My Big Fat Greek Wedding 2 ,13562,2259,Joey Fatone,10.0,family restaurant|greek|remarriage|suburb|wedding,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,103.0,English,USA,PG-13,18000000.0,2016.0,312.0,6.1,2.35,19000,41573085.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Kaige Chen,90.0,103.0,45.0,107.0,Toby Leonard Moore,489.0,668171.0,fantasy,Dong-gun Jang,The Promise ,8215,949,Nicholas Tse,0.0,armor|general|king|princess|slave,http://www.imdb.com/title/tt0417976/?ref_=fn_tt_tt_1,132.0,Mandarin,China,PG-13,60000000.0,2005.0,181.0,5.6,2.35,445,-59331829.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Tyler Perry,41.0,113.0,0.0,607.0,Tasha Smith,2000.0,55184721.0,comedy,Michael Jai White,Why Did I Get Married? ,9811,6510,Lamman Rucker,8.0,marriage|overweight|psychologist|secret|work,http://www.imdb.com/title/tt0906108/?ref_=fn_tt_tt_1,100.0,English,USA,PG-13,15000000.0,2007.0,721.0,5.6,1.85,1000,40184721.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Joshua Seftel,79.0,107.0,0.0,91.0,Sergej Trifunovic,603.0,578527.0,thriller,Bashar Rahal,"War, Inc. ",20008,988,Ned Bellamy,3.0,assassin|corporation|pop star|reporter|satire,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,112.0,English,USA,R,10000000.0,2008.0,175.0,5.7,1.78,883,-9421473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
Pierre Morel,141.0,84.0,180.0,58.0,Cyril Raffaelli,510.0,1197786.0,action,David Belle,District B13 ,55928,962,Dany Verissimo-Petit,2.0,bomb|gang|police|sister|undercover cop,http://www.imdb.com/title/tt0414852/?ref_=fn_tt_tt_1,157.0,French,France,R,12000000.0,2004.0,297.0,7.2,2.35,0,-10802214.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Carlos Saldanha,159.0,101.0,107.0,56.0,Rachel Crow,688.0,131536019.0,adventure,Miguel Ferrer,Rio 2 ,58498,1031,Jeffrey Garcia,0.0,amazon|bird|father in law|jungle|no opening credits,http://www.imdb.com/title/tt2357291/?ref_=fn_tt_tt_1,99.0,English,USA,G,103000000.0,2014.0,237.0,6.4,2.35,0,28536019.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Julie Taymor,156.0,133.0,278.0,107.0,T.V. Carpio,5000.0,24343673.0,fantasy,Jim Sturgess,Across the Universe ,91860,5405,Robert Clohessy,0.0,anti war|liverpool|love|protest|song,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524.0,English,USA,PG-13,45000000.0,2007.0,117.0,7.4,2.35,14000,-20656327.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Barry Sonnenfeld,55.0,99.0,188.0,436.0,Raul Julia,1000.0,113502246.0,fantasy,Anjelica Huston,The Addams Family ,96607,3696,Carel Struycken,0.0,accountant|loan shark|macabre|uncle|uncle fester,http://www.imdb.com/title/tt0101272/?ref_=fn_tt_tt_1,125.0,English,USA,PG-13,38000000.0,1991.0,1000.0,6.8,1.85,5000,75502246.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
David Palmer,176.0,100.0,21.0,552.0,Tom Arnold,14000.0,13746550.0,action,Bradley Cooper,Hit and Run ,29322,15922,Beau Bridges,5.0,gay cop|getaway driver|masturbation|penis|witness protection,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1,104.0,English,USA,R,2000000.0,2012.0,618.0,6.1,2.35,0,11746550.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
James Ivory,29.0,140.0,133.0,239.0,Denholm Elliott,443.0,3130592.0,romance,Rupert Graves,Maurice ,10755,1269,Simon Callow,1.0,homosexuality|love|male full frontal nudity|male rear nudity|one word title,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,69.0,English,UK,R,2600000.0,1987.0,249.0,7.8,1.66,963,530592.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
Derek Cianfrance,377.0,112.0,310.0,616.0,Mike Vogel,33000.0,9701559.0,drama,Ryan Gosling,Blue Valentine ,141425,35941,John Doman,0.0,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,283.0,English,USA,R,3500000.0,2010.0,2000.0,7.4,1.66,25000,6201559.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
James Ivory,20.0,139.0,133.0,5.0,Todd Boyce,423.0,2474000.0,drama,Seth Gilliam,Jefferson in Paris ,2427,446,Nigel Whitmey,1.0,18th century|ambassador|french revolution|friendship|thomas jefferson,http://www.imdb.com/title/tt0113463/?ref_=fn_tt_tt_1,27.0,English,France,PG-13,14000000.0,1995.0,15.0,5.7,1.85,127,-11526000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
